sexe;preusuel;annais;nombre
1;TRESOR;2002;4
2;AWATEF;1972;3
2;JULLY;2011;3
2;MAURANE;2013;11
2;DOROTHÉE;1986;134
2;SILMA;XXXX;23
1;NADJI;1976;4
2;LESLIE;1982;437
2;LISA;1992;1499
1;EDVARD;XXXX;52
1;FOAD;1973;3
1;YVAN;1922;156
2;KISHA;2010;4
2;HELIETTE;1934;14
2;CHANTAL;1939;1040
2;APOLLONIE;1919;4
2;HADILE;2010;5
1;BRIVAEL;2004;5
1;AHAMADA;2009;3
1;LILLO;2004;3
2;DORYANE;XXXX;32
1;WASSIL;2006;36
1;ZAK;2013;9
2;CHAINESE;2004;8
2;ISIS;1997;45
1;ALAA;2000;4
2;ELIDA;1984;4
2;LORNA;2008;57
1;AL-AMINE;2010;3
1;ANDY;1979;78
1;LINUS;2011;4
2;NEISSA;2018;4
2;LAURE;1998;955
1;ASSAN;1967;5
2;JENNIE;1993;7
1;NACIM;1988;38
1;VALERE;1940;22
1;SANKOUN;2003;3
1;AUGUSTO;1965;7
2;LILOE;2004;3
1;JEAN-MAX;1974;17
1;NATHAEL;XXXX;10
1;FLORIAN;1916;7
2;LILI;1947;7
2;DOMITILE;XXXX;47
1;WINTER;2007;3
1;DIAR;XXXX;10
2;EMMANUELLE;1916;6
2;ATHALIA;2012;3
1;MAHMUT;1975;3
2;MASSARA;2019;4
2;ROSIE;1997;9
1;M'RICK;2000;11
1;NOHA;2013;162
1;FLORIAN;2005;1842
2;ABIBA;1973;3
2;MAUD;1940;124
2;KATHLYN;1997;3
2;AÏNOHA;2015;3
2;CHAÏNEZ;2019;12
1;ABDESAMAD;1989;3
2;LYNE;2017;170
1;JOSUE;2000;104
2;REBECCA;1976;166
2;LOETITIA;1932;21
2;SHANNEN;2011;5
2;HERVELINE;1914;22
1;FRITZ;1939;4
1;OZAN;1993;12
2;BASSMA;2018;22
2;ADÈLA;XXXX;8
2;KATELINE;2002;6
2;ANNA-MAY;2009;5
2;MONIA;1986;137
1;RODOLPHE;1955;133
1;HAJA;XXXX;39
1;NEALS;XXXX;26
2;MOESHA;2006;5
2;EDENE;2000;5
1;RODOLFO;1980;5
1;KASPAR;2004;3
2;DIOLINDA;1979;3
2;MANOHA;2006;4
1;YVES;1935;3765
2;NAOMI;1959;3
1;GÉRALD;1954;750
1;PIERRE-MICHEL;1956;12
2;ALJIA;1969;3
1;IGNACE;1963;24
2;INDIRA;1983;8
2;KAELY;2010;6
1;KEYRAN;2015;8
2;HAYET;2016;14
2;SURA;2017;6
2;ROSE-MAY;2014;6
2;KERENE;2013;3
2;MARIE-GERMAINE;1902;8
1;KORANTIN;2002;18
2;MAFALDA;1926;19
2;VERA;1913;4
