"idBank";"Dernière mise à jour";"Zone géographique";"Correction";"Puissance";"﻿Base de l'indice";"Produit";"Indicateur";"Série arrêtée";"Unité";"Nature";"Produit détaillé";"Périodicité";"IDBANK pour sdmx"
"010535379";"31/10/2023 08:45";"France";"Non corrigé";"0";"2015";"CPF 10.52 - Glaces et sorbets";"Indices des prix de production de l'industrie française pour l'ensemble des marchés";"non";"sans objet";"Indice";"Sans objet";"Mensuelle";"BDM_EUR"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
