"Libellé";"Indice de prix de production de l'industrie française pour l'ensemble des marchés − CPF 10.52 − Glaces et sorbets ";"Codes"
"idBank";"010535379";""
"Dernière mise à jour";"31/10/2023 08:45";""
"Période";"";""
"2023-09";"(s)";"Q"
"2023-08";"115.7";"P"
"2023-07";"115.6";"P"
"2023-06";"115.3";"A"
"2023-05";"112.4";"A"
"2023-04";"115.5";"A"
"2023-03";"112.9";"A"
"2023-02";"105.1";"A"
"2023-01";"104.0";"A"
"2022-12";"98.3";"A"
"2022-11";"100.0";"A"
"2022-10";"98.2";"A"
"2022-09";"98.9";"A"
"2022-08";"99.3";"A"
"2022-07";"97.2";"A"
"2022-06";"97.3";"A"
"2022-05";"95.0";"A"
"2022-04";"96.0";"A"
"2022-03";"94.3";"A"
"2022-02";"94.0";"A"
"2022-01";"94.6";"A"
"2021-12";"92.6";"A"
"2021-11";"92.3";"A"
"2021-10";"91.5";"A"
"2021-09";"91.8";"A"
"2021-08";"92.5";"A"
"2021-07";"92.6";"A"
"2021-06";"92.2";"A"
"2021-05";"93.7";"A"
"2021-04";"94.0";"A"
"2021-03";"93.6";"A"
"2021-02";"95.8";"A"
"2021-01";"96.1";"A"
"2020-12";"95.3";"A"
"2020-11";"95.8";"A"
"2020-10";"96.7";"A"
"2020-09";"94.2";"A"
"2020-08";"96.6";"A"
"2020-07";"96.1";"A"
"2020-06";"95.8";"A"
"2020-05";"96.3";"A"
"2020-04";"96.2";"A"
"2020-03";"96.0";"A"
"2020-02";"96.0";"A"
"2020-01";"96.4";"A"
"2019-12";"95.9";"A"
"2019-11";"95.9";"A"
"2019-10";"96.1";"A"
"2019-09";"96.1";"A"
"2019-08";"95.2";"A"
"2019-07";"96.5";"A"
"2019-06";"95.8";"A"
"2019-05";"95.1";"A"
"2019-04";"95.1";"A"
"2019-03";"96.4";"A"
"2019-02";"96.6";"A"
"2019-01";"98.7";"A"
"2018-12";"98.8";"A"
"2018-11";"98.0";"A"
"2018-10";"99.7";"A"
"2018-09";"99.2";"A"
"2018-08";"99.3";"A"
"2018-07";"99.4";"A"
"2018-06";"99.2";"A"
"2018-05";"99.1";"A"
"2018-04";"99.1";"A"
"2018-03";"99.0";"A"
"2018-02";"100.8";"A"
"2018-01";"100.7";"A"
"2017-12";"100.8";"A"
"2017-11";"100.7";"A"
"2017-10";"100.7";"A"
"2017-09";"100.7";"A"
"2017-08";"100.5";"A"
"2017-07";"100.6";"A"
"2017-06";"100.6";"A"
"2017-05";"100.0";"A"
"2017-04";"99.8";"A"
"2017-03";"99.5";"A"
"2017-02";"98.9";"A"
"2017-01";"99.1";"A"
"2016-12";"99.4";"A"
"2016-11";"98.9";"A"
"2016-10";"98.8";"A"
"2016-09";"98.4";"A"
"2016-08";"98.3";"A"
"2016-07";"98.4";"A"
"2016-06";"98.5";"A"
"2016-05";"98.5";"A"
"2016-04";"98.5";"A"
"2016-03";"98.8";"A"
"2016-02";"99.8";"A"
"2016-01";"99.5";"A"
"2015-12";"100.0";"A"
"2015-11";"99.8";"A"
"2015-10";"100.1";"A"
"2015-09";"100.0";"A"
"2015-08";"100.3";"A"
"2015-07";"99.9";"A"
"2015-06";"99.7";"A"
"2015-05";"99.7";"A"
"2015-04";"100.2";"A"
"2015-03";"99.3";"A"
"2015-02";"100.2";"A"
"2015-01";"100.9";"A"
"2014-12";"99.9";"A"
"2014-11";"100.4";"A"
"2014-10";"100.1";"A"
"2014-09";"100.1";"A"
"2014-08";"100.6";"A"
"2014-07";"100.5";"A"
"2014-06";"100.1";"A"
"2014-05";"100.8";"A"
"2014-04";"101.0";"A"
"2014-03";"100.9";"A"
"2014-02";"102.7";"A"
"2014-01";"103.1";"A"
"2013-12";"102.4";"A"
"2013-11";"102.1";"A"
"2013-10";"102.3";"A"
"2013-09";"102.9";"A"
"2013-08";"103.1";"A"
"2013-07";"103.0";"A"
"2013-06";"102.5";"A"
"2013-05";"101.7";"A"
"2013-04";"102.3";"A"
"2013-03";"102.4";"A"
"2013-02";"101.4";"A"
"2013-01";"102.6";"A"
"2012-12";"103.1";"A"
"2012-11";"103.2";"A"
"2012-10";"102.8";"A"
"2012-09";"102.1";"A"
"2012-08";"102.6";"A"
"2012-07";"101.9";"A"
"2012-06";"101.8";"A"
"2012-05";"102.1";"A"
"2012-04";"103.0";"A"
"2012-03";"103.1";"A"
"2012-02";"102.8";"A"
"2012-01";"102.8";"A"
"2011-12";"102.6";"A"
"2011-11";"102.5";"A"
"2011-10";"102.5";"A"
"2011-09";"102.8";"A"
"2011-08";"102.4";"A"
"2011-07";"103.1";"A"
"2011-06";"103.1";"A"
"2011-05";"102.7";"A"
"2011-04";"103.4";"A"
"2011-03";"102.5";"A"
"2011-02";"102.4";"A"
"2011-01";"101.9";"A"
"2010-12";"101.3";"A"
"2010-11";"101.6";"A"
"2010-10";"101.1";"A"
"2010-09";"101.7";"A"
"2010-08";"100.9";"A"
"2010-07";"106.4";"A"
"2010-06";"106.5";"A"
"2010-05";"106.5";"A"
"2010-04";"107.0";"A"
"2010-03";"106.7";"A"
"2010-02";"107.2";"A"
"2010-01";"107.7";"A"
"2009-12";"108.5";"A"
"2009-11";"110.7";"A"
"2009-10";"111.1";"A"
"2009-09";"111.7";"A"
"2009-08";"112.6";"A"
"2009-07";"111.3";"A"
"2009-06";"112.3";"A"
"2009-05";"112.3";"A"
"2009-04";"105.3";"A"
"2009-03";"105.2";"A"
"2009-02";"107.1";"A"
"2009-01";"107.8";"A"
"2008-12";"117.7";"A"
"2008-11";"119.8";"A"
"2008-10";"117.4";"A"
"2008-09";"120.0";"A"
"2008-08";"122.9";"A"
"2008-07";"121.7";"A"
"2008-06";"123.6";"A"
"2008-05";"123.7";"A"
"2008-04";"123.8";"A"
"2008-03";"121.8";"A"
"2008-02";"120.6";"A"
"2008-01";"120.2";"A"
"2007-12";"114.7";"A"
"2007-11";"115.4";"A"
"2007-10";"116.5";"A"
"2007-09";"114.1";"A"
"2007-08";"113.1";"A"
"2007-07";"113.7";"A"
"2007-06";"113.8";"A"
"2007-05";"113.4";"A"
"2007-04";"113.0";"A"
"2007-03";"115.3";"A"
"2007-02";"115.6";"A"
"2007-01";"116.4";"A"
